sample_name,abdominal,caudal,img_name,crosses,plates,wells
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE2_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE2,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_E02.tif,95-1_Female_x_72-1_Male,plate1,E2
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE3_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE3,11,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_E03.tif,95-1_Female_x_72-1_Male,plate1,E3
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE4_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE4,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E04.tif,95-1_Female_x_129-1_Male,plate1,E4
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE5_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE5,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E5.tif,95-1_Female_x_129-1_Male,plate1,E5
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE6_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE6,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E6.tif,95-1_Female_x_129-1_Male,plate1,E6
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE7_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE7,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E7.tif,95-1_Female_x_129-1_Male,plate1,E7
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE8_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE8,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E8.tif,95-1_Female_x_129-1_Male,plate1,E8
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE9_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE9,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E9.tif,95-1_Female_x_129-1_Male,plate1,E9
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF1_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF1,11,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F1.tif,95-1_Female_x_129-1_Male,plate1,F1
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF10_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF10,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F10.tif,95-1_Female_x_129-1_Male,plate1,F10
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF11_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF11,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F11.tif,95-1_Female_x_129-1_Male,plate1,F11
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF12_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF12,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F12.tif,95-1_Female_x_129-1_Male,plate1,F12
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF2_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF2,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F2.tif,95-1_Female_x_129-1_Male,plate1,F2
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF4_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF4,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F4.tif,95-1_Female_x_129-1_Male,plate1,F4
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF5_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF5,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F5.tif,95-1_Female_x_129-1_Male,plate1,F5
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF6_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF6,13,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F6.tif,95-1_Female_x_129-1_Male,plate1,F6
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF7_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF7,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F7.tif,95-1_Female_x_129-1_Male,plate1,F7
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF8_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF8,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F8.tif,95-1_Female_x_129-1_Male,plate1,F8
